market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 114.5；break 112。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-1215/risk_plan.html
tw,1216,統一,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",同市場權重偏高且 PEI 官方證據未補齊，盤前先控集中度。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 74.5；break 72.8。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-1216/risk_plan.html
tw,1477,聚陽,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 216.5；break 211。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-1477/risk_plan.html
tw,1560,中砂,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 689；break 670。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-1560/risk_plan.html
tw,2317,鴻海,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：來源未提供，需後續查證。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2317/risk_plan.html
tw,2324,仁寶,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：來源未提供，需後續查證。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2324/risk_plan.html
tw,2330,台積電,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,"PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 2,385；break 2,345。",0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2330/risk_plan.html
tw,2337,旺宏,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 162.5；break 150。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2337/risk_plan.html
tw,2344,華邦電,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：來源未提供，需後續查證。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2344/risk_plan.html
tw,2408,南亞科,inventory_holding,Watch only,,,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、價格預警或 PEI 證據缺口仍在，盤前先以降風險優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：warn 427.5；break 410。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-29-inventory/companies/tw-2408/risk_plan.html
