market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,0052,富邦科技,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-0052/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-0052/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-0052/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-0052/risk_plan.html
tw,00640L,富邦日本正2,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00640L/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00640L/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00640L/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00640L/risk_plan.html
tw,00641R,富邦日本反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00641R/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00641R/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00641R/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00641R/risk_plan.html
tw,00669R,國泰美國道瓊反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00669R/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00669R/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00669R/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00669R/risk_plan.html
tw,00707R,期元大S&P日圓反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00707R/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00707R/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00707R/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00707R/risk_plan.html
tw,00938,凱基優選30,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00938/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00938/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00938/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00938/risk_plan.html
tw,00951,台新日本半導體,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00951/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00951/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00951/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00951/risk_plan.html
tw,00954,中信日本半導體,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00954/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00954/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00954/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-00954/risk_plan.html
tw,1323,永裕,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1323/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1323/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1323/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1323/risk_plan.html
tw,1339,昭輝,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1339/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1339/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1339/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1339/risk_plan.html
tw,1441,大東,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1441/summary.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1441/tearsheet.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1441/initiation.html,reports/public-equity-batch/2026-07-13-1250-tw-intraday-kline/companies/tw-1441/risk_plan.html
