market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,1303,南亞,buy_now,Watch only,154.5,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-1303/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-1303/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-1303/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-1303/risk_plan.html
tw,2002,中鋼,buy_now,Watch only,19.2,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2002/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2002/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2002/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2002/risk_plan.html
tw,2108,南帝,buy_now,Watch only,28.3,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2108/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2108/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2108/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2108/risk_plan.html
tw,2330,台積電,buy_now,Watch only,2490.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2330/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2330/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2330/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2330/risk_plan.html
tw,2436,偉詮電,buy_now,Watch only,77.5,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2436/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2436/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2436/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2436/risk_plan.html
tw,2454,聯發科,buy_now,Watch only,4535.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2454/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2454/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2454/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2454/risk_plan.html
tw,2603,長榮,buy_now,Watch only,189.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-2603/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-2603/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-2603/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-2603/risk_plan.html
tw,3034,聯詠,buy_now,Watch only,544.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-3034/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-3034/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-3034/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-3034/risk_plan.html
tw,3105,穩懋,buy_now,Watch only,522.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-3105/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-3105/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-3105/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-3105/risk_plan.html
tw,3665,貿聯-KY,buy_now,Watch only,2000.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-3665/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-3665/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-3665/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-3665/risk_plan.html
tw,4991,環宇-KY,buy_now,Watch only,536.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-4991/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-4991/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-4991/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-4991/risk_plan.html
tw,5471,松翰,buy_now,Watch only,62.4,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-5471/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-5471/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-5471/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-5471/risk_plan.html
tw,6451,訊芯-KY,buy_now,Watch only,596.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-6451/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-6451/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-6451/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-6451/risk_plan.html
tw,6829,千附精密,buy_now,Watch only,206.0,TWD,2026-06-23T00:00:00+08:00,partial,not_run,未執行完整公司財報、法說、交易所公告與估值模型查核; 需以交易所/公司公告/券商即時報價複核 NotebookLM 來源主張; 技術觸發價與風控距離多來自來源文字，尚未以獨立圖表系統驗證,reports/public-equity-batch/2026-06-24/companies/tw-6829/summary.html,reports/public-equity-batch/2026-06-24/companies/tw-6829/tearsheet.html,reports/public-equity-batch/2026-06-24/companies/tw-6829/initiation.html,reports/public-equity-batch/2026-06-24/companies/tw-6829/risk_plan.html
