market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,source_count,source_summary
tw,台股,1303,南亞,塑化/玻纖布,buy_now,現在可以買名單,0,common_equity,tw-1303,1,KOL/news 現在可以買名單
tw,台股,2002,中鋼,鋼鐵,buy_now,現在可以買名單,0,common_equity,tw-2002,1,KOL/news 現在可以買名單
tw,台股,2108,南帝,傳產,buy_now,現在可以買名單,0,common_equity,tw-2108,1,KOL/news 現在可以買名單
tw,台股,2330,台積電,半導體,buy_now,現在可以買名單,0,common_equity,tw-2330,1,KOL/news 現在可以買名單
tw,台股,2436,偉詮電,MCU,buy_now,現在可以買名單,0,common_equity,tw-2436,1,KOL/news 現在可以買名單
tw,台股,2454,聯發科,IC設計,buy_now,現在可以買名單,0,common_equity,tw-2454,1,KOL/news 現在可以買名單
tw,台股,2603,長榮,航運,buy_now,現在可以買名單,0,common_equity,tw-2603,1,KOL/news 現在可以買名單
tw,台股,3034,聯詠,IC設計,buy_now,現在可以買名單,0,common_equity,tw-3034,1,KOL/news 現在可以買名單
tw,台股,3105,穩懋,光通訊,buy_now,現在可以買名單,0,common_equity,tw-3105,1,KOL/news 現在可以買名單
tw,台股,3665,貿聯-KY,連接線/光通訊,buy_now,現在可以買名單,0,common_equity,tw-3665,1,KOL/news 現在可以買名單
tw,台股,4991,環宇-KY,光通訊,buy_now,現在可以買名單,0,common_equity,tw-4991,1,KOL/news 現在可以買名單
tw,台股,5471,松翰,MCU,buy_now,現在可以買名單,0,common_equity,tw-5471,1,KOL/news 現在可以買名單
tw,台股,6451,訊芯-KY,封測,buy_now,現在可以買名單,0,common_equity,tw-6451,1,KOL/news 現在可以買名單
tw,台股,6829,千附精密,航太/半導體設備,buy_now,現在可以買名單,0,common_equity,tw-6829,1,KOL/news 現在可以買名單
us,美股,AXTI,AXTI,半導體,buy_now,現在可以買名單,0,common_equity,us-AXTI,1,KOL/news 現在可以買名單
us,美股,IBM,IBM,資訊科技,buy_now,現在可以買名單,0,common_equity,us-IBM,1,KOL/news 現在可以買名單
us,美股,INFQ,INFQ,量子計算,buy_now,現在可以買名單,0,common_equity,us-INFQ,1,KOL/news 現在可以買名單
tw,台股,00631L,元大台灣50正2,ETF,wait_entry,現在不能買，但值得等買點名單,3,fund_or_etf,tw-00631L,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2303,聯電,晶圓代工,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2303,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2344,華邦電,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2344,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2408,南亞科,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2408,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,2409,友達,面板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-2409,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3016,嘉晶,晶圓製造,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3016,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3037,欣興,載板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3037,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3189,景碩,載板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3189,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3374,精材,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3374,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3406,玉晶光,光學,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3406,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3443,創意,ASIC/IP,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3443,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3481,群創,面板/玻璃基板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3481,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3707,漢磊,功率半導體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3707,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3711,日月光投控,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3711,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,3715,定穎投控,PCB,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-3715,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,6116,彩晶,面板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-6116,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,6147,頎邦,封測,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-6147,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,6213,聯茂,PCB,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-6213,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8046,南電,載板,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8046,1,KOL/news 現在不能買，但值得等買點名單
tw,台股,8299,群聯,記憶體控制IC,wait_entry,現在不能買，但值得等買點名單,3,common_equity,tw-8299,1,KOL/news 現在不能買，但值得等買點名單
us,美股,AAPL,蘋果,消費性電子,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-AAPL,1,KOL/news 現在不能買，但值得等買點名單
us,美股,GOOG,Google,軟體/AI,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-GOOG,1,KOL/news 現在不能買，但值得等買點名單
us,美股,MRVL,美滿電子,半導體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-MRVL,1,KOL/news 現在不能買，但值得等買點名單
us,美股,MU,美光,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-MU,1,KOL/news 現在不能買，但值得等買點名單
us,美股,SNDK,Sandisk,記憶體,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-SNDK,1,KOL/news 現在不能買，但值得等買點名單
us,美股,SPCX,SpaceX,航太/AI,wait_entry,現在不能買，但值得等買點名單,3,common_equity,us-SPCX,1,KOL/news 現在不能買，但值得等買點名單
