symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
ADBE,Adobe Inc. - Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-ADBE.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-ADBE.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-ADBE.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
ADSK,Autodesk,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-ADSK.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-ADSK.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-ADSK.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
BA,Boeing Company  Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-BA.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-BA.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-BA.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
BMY,Bristol-Myers Squibb Company Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-BMY.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-BMY.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-BMY.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
CI,The Cigna Group Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-CI.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-CI.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-CI.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
CMCSA,Comcast Corporation - Class A Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-CMCSA.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-CMCSA.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-CMCSA.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
CRM,Salesforce,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-CRM.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-CRM.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-CRM.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
D,Dominion Energy,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-D.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-D.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-D.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
FOXA,Fox Corporation - Class A Common Stock,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-FOXA.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-FOXA.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-FOXA.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
GILD,Gilead Sciences,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/input_packets/us-GILD.packet.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/us-GILD.result.json,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/result_templates/us-GILD.result.template.md,reports/public-equity-batch/2026-07-02-us-kline/specialist_workorders/validate_results_report.json
