market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,AAPL,Apple Inc,inventory_holding,Watch only,291.44,2026-06-25,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",AI 變現仍待證明且盤前跌破 APEX break，先降小部位風險。,PEI：AI 應用無法帶動需求或估值持續高於可驗證成長。；APEX：收盤跌破 293.97；低於 295.62 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-AAPL/risk_plan.html
us,ABT,亞培,inventory_holding,Watch only,90.1,2026-06-25,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",有 2026-06-23 買點且未破 APEX 門檻，但 PEI 證據不足，續抱不加碼。,PEI：營收/margin 或 pipeline 進度不支持防禦成長 thesis。；APEX：收盤跌破 87.07；低於 88.73 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-ABT/risk_plan.html
us,AXTI,AXT Inc,inventory_holding,Watch only,74.8,2026-06-25,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近週賣點與趨勢破壞仍在，反彈先減碼而非加碼。,PEI：營收/毛利與訂單無法支撐半導體材料週期復甦。；APEX：收盤跌破 67.01；低於 77.91 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-AXTI/risk_plan.html
us,BRK.B,Berkshire Hathaway I,inventory_holding,Watch only,493.23,2026-06-25,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",防禦底倉可續抱，未見明確 thesis break。,PEI：承保利潤、投資組合或資本配置惡化超出防禦持股容忍度。；APEX：收盤跌破 484.51；低於 485.77 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-BRK.B/risk_plan.html
us,CRCL,Circle Internet Group,inventory_holding,Not decision-ready,71.98,2026-06-25,0%; not decision-ready for model portfolio,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",盤前價跌破 APEX break，且 PEI 對 IPO/穩定幣題材仍為 exit。,PEI：官方收益、流通量、儲備收益或監管證據無法支撐估值。；APEX：收盤跌破 72；低於 76.84 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-CRCL/risk_plan.html
us,DASH,DoorDash Inc,inventory_holding,Watch only,177.37,2026-06-25,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",低權重且無明確 thesis break，續抱不加。,PEI：成長與 margin 無法同時支撐估值。；APEX：收盤跌破 151.95；低於 164.43 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-DASH/risk_plan.html
us,ECHO,EchoStar Corporation,inventory_holding,Watch only,99.73,2026-06-25,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",頻譜商業化與監管未驗證，盤前略低於 APEX break，先減碼。,PEI：頻譜價值無法變現，或資金/債務壓力升高。；APEX：收盤跌破 100；低於 104.14 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-ECHO/risk_plan.html
us,GLW,康寧公司,inventory_holding,Watch only,218.96,2026-06-25,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",AI 材料題材可追蹤，但需良率/訂單證據，續抱不加。,PEI：良率、認證或客戶導入無法支持題材估值。；APEX：收盤跌破 175.40；低於 181.20 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-GLW/risk_plan.html
us,GOOGL,Alphabet 公司,inventory_holding,Watch only,340.45,2026-06-25,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",高權重且盤前價低於 APEX break，先減碼控風險。,PEI：AI capex 持續升高但收入/利潤轉換率未改善，或模型競爭力惡化。；APEX：收盤跌破 352；低於 358.67 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-GOOGL/risk_plan.html
us,IBM,國際商業機器公司,inventory_holding,Watch only,268.25,2026-06-25,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",有 2026-06-23 買點且盤前站上 warn，但 PEI 證據未補齊，續抱不加。,PEI：軟體與 AI 轉型無法轉成收入、margin 或 FCF。；APEX：收盤跌破 243.68；低於 262.96 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25-inventory-us/companies/us-IBM/risk_plan.html
