market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,109.0,2026-08-10,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 7.8%; 20D low 100.5 (input only; PM must verify),"20D avg trade value 120,345,987.8; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",買點與 normal 支持保留，但成本與基本面缺口不支持加碼,股利覆蓋、現金流或獲利品質轉弱，或跌破 102.15 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-1215/risk_plan.html
tw,1216,統一,inventory_holding,Watch only,75.5,2026-08-10,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 4.11%; 20D low 72.4 (input only; PM must verify),"20D avg trade value 1,754,440,613.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",最新賣點與評級不一致不支持加碼，維持續抱,Q2／FCF與食品本業 margin 未改善，或跌破 72.63 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-1216/risk_plan.html
tw,2330,台積電,inventory_holding,Watch only,2380.0,2026-08-10,"0%; inventory-holding context only, no model position opened",0.0,"20d_low distance 8.4%; 20D low 2,180 (input only; PM must verify)","20D avg trade value 93,716,428,238.4; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",中長期評級支持續抱，但 company-level evidence 缺口限制加碼,指引、毛利率、2nm／CoWoS或 FCF 轉弱，或跌破 2223 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-2330/risk_plan.html
tw,2354,鴻準,inventory_holding,Not decision-ready,63.1,2026-08-10,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 18.86%; 20D low 51.2 (input only; PM must verify),"20D avg trade value 695,873,455; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",小部位可觀察，但買賣訊號交錯且評級不支持新增風險,連續營收年增、營益率與 FCF 改善後再上調；跌破 58.68 重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-2354/risk_plan.html
tw,2454,聯發科,inventory_holding,Watch only,3960.0,2026-08-10,"0%; inventory-holding context only, no model position opened",0.0,"20d_low distance 24.49%; 20D low 2,990 (input only; PM must verify)","20D avg trade value 36,077,749,587.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",回到 normal，但評級不一致與訊號反覆仍不支持加碼,ASIC、非手機營收、毛利與 FCF 未兌現，或跌破 3712.50 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-2454/risk_plan.html
tw,6695,芯鼎,inventory_holding,Watch only,49.05,2026-08-10,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 8.26%; 20D low 45 (input only; PM must verify),"20D avg trade value 55,741,181.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",高集中度、觀察評級與 break 同時存在，優先降低曝險,公司量產、毛利、營業現金流與合理估值同時改善後再重評；價格監控 warn 56.05 / break 53.10,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-6695/risk_plan.html
tw,6770,力積電,inventory_holding,Wait for trigger,67.6,2026-08-10,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 28.99%; 20D low 48 (input only; PM must verify),"20D avg trade value 12,951,917,169.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",今日買點不覆蓋近週賣點與深回撤，維持觀察,毛利、稼動率、FCF 與稀釋風險改善且站回 75.53 才上調,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-6770/risk_plan.html
tw,9910,豐泰,inventory_holding,Wait for trigger,70.2,2026-08-10,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 5.27%; 20D low 66.5 (input only; PM must verify),"20D avg trade value 110,844,043.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",技術改善但基本面證據不足，維持觀察,訂單、毛利與 FCF 改善後重評；跌破 64.53 加強風險控管,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/tw-9910/risk_plan.html
us,AAPL,Apple Inc,inventory_holding,Watch only,308.26,2026-08-10T20:00:02Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 2.68%; 20D low 300 (input only; PM must verify),"20D avg trade value 18,154,637,412.45; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",現價跌破 break，觀察評級與證據限制支持降低風險,Services、正常化毛利與每股 FCF 改善且站回 327.34 後重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-AAPL/risk_plan.html
us,BABA,阿里巴巴,inventory_holding,Watch only,132.32,2026-08-10T20:02:23Z,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 15.94%; 20D low 111.23 (input only; PM must verify),"20D avg trade value 1,201,589,438.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",低權重可續抱，但接近高點且公司級證據不足，不追價,雲端、核心 EBITA 與 FCF 未改善，或跌破 119.31 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-BABA/risk_plan.html
us,CPRT,Copart Inc,inventory_holding,Wait for trigger,29.59,2026-08-10T20:00:01Z,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 9.4%; 20D low 26.81 (input only; PM must verify),"20D avg trade value 329,365,825.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",買賣訊號衝突且評級不支持新增風險,單量、每車收入、主要客戶留存與 FCF 改善且站穩 29.85 才上調,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-CPRT/risk_plan.html
us,CRCL,Circle Internet Group,inventory_holding,Watch only,67.05,2026-08-10T20:00:02Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 13.74%; 20D low 57.84 (input only; PM must verify),"20D avg trade value 758,090,612.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",深度虧損與 warn 優先於反彈買點，降低風險,USDC、分潤後毛利、GAAP 營益與收入多元化改善且站回 69.05 才重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-CRCL/risk_plan.html
us,GOOGL,Alphabet 公司,inventory_holding,Watch only,357.52,2026-08-10T20:00:01Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 11.92%; 20D low 314.9 (input only; PM must verify),"20D avg trade value 11,365,372,509.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",高權重、近週賣點與觀察評級支持降低曝險,Search／Cloud、正常化 FCF 與 Capex 效率改善，且站回 365.26 後重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-GOOGL/risk_plan.html
us,LVS,Las Vegas Sands Corp,inventory_holding,Watch only,45.46,2026-08-10T20:00:02Z,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 2.75%; 20D low 44.21 (input only; PM must verify),"20D avg trade value 268,734,455.4; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",低權重與續抱評級可保留，但近週賣點禁止加碼,博彩量、EBITDA、槓桿惡化或跌破 45.07 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-LVS/risk_plan.html
us,MU,Micron Technology,inventory_holding,Watch only,861.0,2026-08-10T20:00:01Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 14.3%; 20D low 737.88 (input only; PM must verify),"20D avg trade value 39,523,107,957.2; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",最新賣點與 break 支持降低曝險,HBM4、ASP、庫存與 FCF 續強且站回 961.18 才重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-MU/risk_plan.html
us,NFLX,Netflix Inc,inventory_holding,Watch only,76.29,2026-08-10T20:00:00Z,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",評級支持續抱，但雙位數權重與本機日 K 缺口禁止加碼,廣告／留存、正常化 FCF 或 margin 轉弱，或跌破 68.68 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-NFLX/risk_plan.html
us,PLTR,Palantir Technologies Inc,inventory_holding,Not decision-ready,175.23,2026-08-10T20:00:00Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 32.72%; 20D low 117.89 (input only; PM must verify),"20D avg trade value 6,742,068,504.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",技術強，但高估值與炒作風險支持逢高降低曝險,商業收入、留存、每股 FCF 改善、SBC 下降且估值消化後重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-PLTR/risk_plan.html
us,SOFI,SoFi Technologies Inc,inventory_holding,Watch only,18.12,2026-08-10T20:00:01Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 17.88%; 20D low 14.88 (input only; PM must verify),"20D avg trade value 1,342,704,823.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",雙位數權重與深度虧損使單一買點不足以解除風險,charge-off、存款、NIM、平台帳戶與 GAAP 獲利改善後重評；跌破 17.08 加強控管,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-SOFI/risk_plan.html
us,SPCX,太空探索科技公司,inventory_holding,Not decision-ready,138.74,2026-08-10T20:00:00Z,0%; not decision-ready for model portfolio,0.0,20d_low distance 24.44%; 20D low 104.83 (input only; PM must verify),"20D avg trade value 12,189,825,473.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",價格 normal 不解除研究模板無法驗證與高權重風險,只有上市身分、可驗證財報、估值與流動性完整後才重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-SPCX/risk_plan.html
us,TSLA,特斯拉 / Tesla,inventory_holding,Watch only,330.88,2026-08-10T20:00:00Z,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 10.12%; 20D low 297.38 (input only; PM must verify),"20D avg trade value 13,032,587,569.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",最大美元權重、深回撤與觀察評級疊加，優先降集中風險,汽車毛利、FCF 與受監管 AI 收入可核實，且站回 386.26 後再重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-TSLA/risk_plan.html
us,TSM,Taiwan Semiconductor,inventory_holding,Watch only,418.47,2026-08-10T20:00:03Z,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 10.93%; 20D low 372.72 (input only; PM must verify),"20D avg trade value 6,073,804,496.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",評級支持續抱，但近 10% 權重不增加曝險,2nm／AI、毛利、海外廠回報或 FCF 轉弱，或跌破 387.95 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-11-inventory/companies/us-TSM/risk_plan.html
