market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,00935,00935 科技型 ETF,buy_now,Watch only,58.8,2026-06-26,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-00935/risk_plan.html
tw,2368,金像電,buy_now,Watch only,1190.0,2026-06-26,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-2368/risk_plan.html
tw,5469,瀚宇博,buy_now,Not decision-ready,87.4,2026-06-26,0%; not decision-ready,0.0075,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-5469/risk_plan.html
us,MSFT,微軟,buy_now,Not decision-ready,372.97,2026-06-26T20:00:01Z,0%; not decision-ready,0.0075,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/us-MSFT/risk_plan.html
tw,0050,元大台灣 50,wait_entry,Wait for trigger,103.1,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-0050/risk_plan.html
tw,2330,台積電,wait_entry,Wait for trigger,2340.0,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-2330/risk_plan.html
tw,3037,欣興,wait_entry,Wait for trigger,975.0,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-3037/risk_plan.html
tw,3189,景碩,wait_entry,Wait for trigger,797.0,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-3189/risk_plan.html
tw,3481,群創,wait_entry,Wait for trigger,65.0,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-3481/risk_plan.html
tw,4958,臻鼎-KY,wait_entry,Wait for trigger,580.0,2026-06-26,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,not independently verified in report-scope PEI artifact,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29/companies/tw-4958/risk_plan.html
