market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,00625K,富邦上証+R,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00625K/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00625K/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00625K/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00625K/risk_plan.html
tw,00657,國泰日經225,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00657/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00657/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00657/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00657/risk_plan.html
tw,00661,元大日經225,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00661/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00661/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00661/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00661/risk_plan.html
tw,00684R,期元大美元指反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00684R/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00684R/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00684R/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00684R/risk_plan.html
tw,00876,元大全球5G,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00876/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00876/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00876/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00876/risk_plan.html
tw,00892,富邦台灣半導體,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00892/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00892/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00892/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-00892/risk_plan.html
tw,1323,永裕,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1323/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1323/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1323/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1323/risk_plan.html
tw,1449,佳和,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1449/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1449/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1449/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1449/risk_plan.html
tw,1560,中砂,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1560/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1560/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1560/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-1560/risk_plan.html
tw,2023,燁輝,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2023/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2023/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2023/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2023/risk_plan.html
tw,2438,翔耀,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2438/summary.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2438/tearsheet.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2438/initiation.html,reports/public-equity-batch/2026-07-07-1250-tw-intraday-kline/companies/tw-2438/risk_plan.html
