symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
1536,和大,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-1536.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-1536.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-1536.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
1717,長興,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-1717.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-1717.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-1717.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2105,正新,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2105.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2105.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2105.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2340,台亞,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2340.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2340.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2340.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2374,佳能,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2374.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2374.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2374.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2436,偉詮電,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2436.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2436.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2436.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2486,一詮,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2486.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2486.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2486.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
2912,統一超,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-2912.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-2912.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-2912.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
3016,嘉晶,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-3016.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-3016.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-3016.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
3019,亞光,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/input_packets/tw-3019.packet.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/tw-3019.result.json,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/result_templates/tw-3019.result.template.md,reports/public-equity-batch/2026-07-02-tw-kline/specialist_workorders/validate_results_report.json
