market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,110.5,2026-07-02,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 0.91%; 20D low 109.5 (input only; PM must verify),"20D avg trade value 257,728,930.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",未見同日 12:50 庫存買點，PEI gate 未完成，維持續抱但不新增風險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-1215/risk_plan.html
tw,1216,統一,inventory_holding,Watch only,74.9,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 3.34%; 20D low 72.4 (input only; PM must verify),"20D avg trade value 1,043,149,435.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-1216/risk_plan.html
tw,1477,聚陽,inventory_holding,Watch only,222.0,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 5.41%; 20D low 210 (input only; PM must verify),"20D avg trade value 702,338,972.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-1477/risk_plan.html
tw,1560,中砂,inventory_holding,Watch only,769.0,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 23.54%; 20D low 588 (input only; PM must verify),"20D avg trade value 1,087,682,780.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-1560/risk_plan.html
tw,2317,鴻海,inventory_holding,Watch only,239.0,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 0.42%; 20D low 238 (input only; PM must verify),"20D avg trade value 19,229,925,562.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2317/risk_plan.html
tw,2324,仁寶,inventory_holding,Watch only,34.8,2026-07-02,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 2.3%; 20D low 34 (input only; PM must verify),"20D avg trade value 3,634,397,906.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",有買點或 12:50 技術觸發，但 PEI gate 未完成，僅列人工確認與續抱觀察，不升級為加碼。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2324/risk_plan.html
tw,2330,台積電,inventory_holding,Watch only,2465.0,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,"20d_low distance 10.34%; 20D low 2,210 (input only; PM must verify)","20D avg trade value 97,294,301,008.65; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2330/risk_plan.html
tw,2337,旺宏,inventory_holding,Watch only,145.5,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 8.93%; 20D low 132.5 (input only; PM must verify),"20D avg trade value 14,043,051,853.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2337/risk_plan.html
tw,2344,華邦電,inventory_holding,Watch only,183.5,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 20.44%; 20D low 146 (input only; PM must verify),"20D avg trade value 46,038,520,073.75; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2344/risk_plan.html
tw,2408,南亞科,inventory_holding,Watch only,407.0,2026-07-02,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 20.39%; 20D low 324 (input only; PM must verify),"20D avg trade value 48,277,734,465.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週出現 K-line 賣點或買賣訊號反覆，PEI 仍為 partial / not decision-ready，尾盤先降低風險曝險。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；價格面：跌破後續補齊的 APEX 支撐/失效價需重估。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-03-inventory/companies/tw-2408/risk_plan.html
